model,variation,content,style,lpips,dinov2,psnr,ssim
DD,only_controlnet,content5,style2,0.780445,0.887104,9.445897,0.243832
DD,only_controlnet,content5,style3,0.651094,0.821257,11.039884,0.295155
DD,only_controlnet,content5,style4,0.616604,0.686879,10.568398,0.293623
DD,only_controlnet,content5,style5,0.683649,0.597440,10.325454,0.247940
DD,controlnet_ip_adapter,content1,style1,0.697054,0.620969,6.191959,0.141498
DD,controlnet_ip_adapter,content1,style2,0.774492,0.771312,7.259535,0.166382
DD,controlnet_ip_adapter,content1,style3,0.856895,0.821821,5.996605,0.132650
DD,controlnet_ip_adapter,content1,style4,0.739926,0.519328,9.343848,0.257503
DD,controlnet_ip_adapter,content1,style5,0.721925,0.365958,9.312749,0.252925
DD,controlnet_ip_adapter,content2,style1,0.591567,0.739186,7.365094,0.211277
DD,controlnet_ip_adapter,content2,style2,0.692218,0.789221,7.966595,0.158142
DD,controlnet_ip_adapter,content2,style3,0.722813,0.435794,7.009850,0.146317
DD,controlnet_ip_adapter,content2,style4,0.576089,0.641042,11.147417,0.285337
DD,controlnet_ip_adapter,content2,style5,0.569313,0.751566,10.870166,0.265546
DD,controlnet_ip_adapter,content3,style1,0.594041,0.903889,8.134326,0.213984
DD,controlnet_ip_adapter,content3,style2,0.718793,0.947266,8.728526,0.230343
DD,controlnet_ip_adapter,content3,style3,0.726032,0.899308,7.886099,0.191982
DD,controlnet_ip_adapter,content3,style4,0.615165,0.835408,11.297099,0.346824
DD,controlnet_ip_adapter,content3,style5,0.666263,0.700825,9.951639,0.288842
DD,controlnet_ip_adapter,content4,style1,0.567057,0.597677,5.833898,0.165526
DD,controlnet_ip_adapter,content4,style2,0.691034,0.827624,6.342115,0.146009
DD,controlnet_ip_adapter,content4,style3,0.811485,1.015690,5.550359,0.129765
DD,controlnet_ip_adapter,content4,style4,0.599993,0.546290,8.341226,0.227924
DD,controlnet_ip_adapter,content4,style5,0.669654,0.691994,7.912040,0.223477
DD,controlnet_ip_adapter,content5,style1,0.671963,0.565883,10.305111,0.197149
DD,controlnet_ip_adapter,content5,style2,0.773800,0.853745,9.901259,0.181234
DD,controlnet_ip_adapter,content5,style3,0.828385,0.846428,9.040365,0.151560
DD,controlnet_ip_adapter,content5,style4,0.701656,0.599423,9.471006,0.215326
DD,controlnet_ip_adapter,content5,style5,0.650369,0.399452,10.936411,0.235386
